# Quasi-dynamic assembly motion log
# dt=0.02 s, default_mass=0.05 kg, default_inertia=0.0001 kg m^2
# This is a rigid-body approximation driven by OpenFOAM forces.dat/log loads, with panel fallback only if OpenFOAM loads are unavailable.
step	patch	material	material_source	mass_kg	density_kg_m3	mate_type	freedom_source	Cd	Cs	Cl	CmRoll	CmPitch	CmYaw	Fx_N	Fy_N	Fz_N	Mx_Nm	My_Nm	Mz_Nm	dx_m	dy_m	dz_m	droll_rad	dpitch_rad	dyaw_rad	total_x_m	total_y_m	total_z_m
11	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.76990589	0	-0.12817381	0	0	0	-27.20065	-1.4979247	-4.539622	-0.037080889	0.0025016571	0.0050890554	-0.019840864	-0.00041171356	-0.0024840678	-0.17439966	-0.0067918313	0.00060829938	-0.23943257	-0.00060178129	-0.012760568
11	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.28340452	0	0.041593439	0	0	0	-3.8219261	1.5900351	0.58075877	-0.14314322	-0.0064182913	0.0011686906	-0.017848805	0.00047456241	0.0090108232	-0.17440892	-0.0065779884	-3.8985987e-05	-0.16399369	-0.08681108	0.13696741
11	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.28515454	0	0.087152098	0	0	0	-3.8458929	-0.52147686	1.2242744	-0.1436608	-0.00049343421	-0.004942653	-0.017959714	-0.0088004586	-2.4313279e-05	-0.17441653	0.00019356828	-0.0063701709	-0.16426696	-0.13665296	-0.087624889
12	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.29060209	0	-0.050185577	0	0	0	-3.9185877	-1.5792404	-0.7002125	-0.14718179	0.00015330213	-0.0019262583	-0.018103228	-0.0010756509	-0.0084330376	-0.17444702	0.0054460786	-0.00056445681	-0.18205408	0.086832537	-0.14566358
12	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.27697379	0	-0.18539676	0	0	0	-3.7237402	0.68811587	-2.595804	-0.15135785	0.0028657885	0.001946231	-0.018319602	0.007900325	-0.0014060709	-0.17443398	0.00074839713	0.0058281832	-0.18359648	0.14344511	0.084850617
12	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.11853352	0	0.010221389	0	0	0	-2.7129553	0.27323651	0.2538399	-0.21678781	-0.00029194319	-0.0012021194	0	0	0	0	0	0	0	0	0
12	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.76659202	0	-0.1307781	0	0	0	-27.08016	-2.4512787	-4.6328449	-0.04033229	0.0026148848	0.0061771329	-0.019798745	-0.00077892153	-0.0027208428	-0.17442789	-0.0041742518	0.0043850566	-0.25923131	-0.0013807028	-0.01548141
12	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.28670313	0	0.010586813	0	0	0	-3.8629505	1.7303354	0.14497367	-0.14826928	-0.0068735617	0.0031448195	-0.018198282	0.001393823	0.0081780055	-0.17440333	-0.0067176874	0.00030798745	-0.18219198	-0.085417256	0.14514542
12	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.30830603	0	0.137589	0	0	0	-4.1707159	-0.19723379	1.9261544	-0.14274675	-0.0005260243	-0.0011676111	-0.018322405	-0.0079487284	0.0010522265	-0.1744322	0.00011858922	-0.0059274244	-0.18258936	-0.14460169	-0.086572662
13	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.27276084	0	-0.055374484	0	0	0	-3.6692646	-3.9468793	-0.77383975	-0.14689072	0.0042130482	-0.00089620599	-0.018099187	-0.003113943	-0.0079197723	-0.17444806	0.0054081229	-0.00060735693	-0.20015327	0.083718594	-0.15358335
13	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.30323518	0	-0.18061976	0	0	0	-4.0988664	0.54313065	-2.5318842	-0.1436507	0.002435219	0.0048607627	-0.01844003	0.0072871614	-0.0026196487	-0.17443288	0.0009336084	0.0058343692	-0.20203651	0.15073227	0.082230969
13	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.11090289	0	-0.0041383651	0	0	0	-2.5359184	0.034529245	-0.10251088	-0.20522171	0.0011927687	0.00022465348	0	0	0	0	0	0	0	0	0
