# Per-step geometry/movement diagnostic. If dx/drot stay zero, the motion solver is not moving that part.
step	patch	coeff_source	load_source	force_N	moment_Nm	moved_m	rotated_rad	cofr_x	cofr_y	cofr_z	bbox_xmin	bbox_xmax	bbox_ymin	bbox_ymax	bbox_zmin	bbox_zmax
11	Part_1_6	Part_1_6	OpenFOAM-forces	4.0696042	0.14374664	0.02	0.17453293	-0.20663682	-0.1275662	0.10316543	-0.23888193	-0.17219027	-0.17170837	-0.11436061	0.064265362	0.099436702
12	Part_1_5	Part_1_5	OpenFOAM-forces	4.2824791	0.14719448	0.02	0.17453293	-0.2251431	-0.090425207	-0.10601575	-0.25733434	-0.19080478	-0.086595782	-0.055593605	-0.15515884	-0.094892475
12	Part_1_4	Part_1_4	OpenFOAM-forces	4.5910721	0.15139748	0.02	0.17453293	-0.22709185	0.13655681	-0.07981375	-0.25915756	-0.19276294	0.12564845	0.18576725	-0.076784074	-0.045525497
12	Part_1_1	Part_1_1	OpenFOAM-forces	2.7384703	0.21679134	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
12	Part_1_2	Part_1_2	OpenFOAM-forces	27.582732	0.040886284	0.02	0.17453293	-0.32370429	-0.0094636871	-0.0097095769	-0.33198154	-0.31621113	-0.043304744	0.032512075	-0.046566365	0.029139617
12	Part_1_3	Part_1_3	OpenFOAM-forces	4.2352644	0.14846183	0.02	0.17453293	-0.22558023	0.11561374	0.14883496	-0.25767091	-0.1913425	0.080956932	0.1120221	0.13812434	0.1981725
12	Part_1_6	Part_1_6	OpenFOAM-forces	4.5982434	0.1427525	0.02	0.17453293	-0.22564819	-0.1147577	0.12490781	-0.25781703	-0.19139325	-0.16387818	-0.10373009	0.090280923	0.1212485
13	Part_1_5	Part_1_5	OpenFOAM-forces	5.4442802	0.14695386	0.02	0.17453293	-0.24389253	-0.11174392	-0.089271899	-0.27601758	-0.2097358	-0.10936806	-0.080828397	-0.14253879	-0.081264487
13	Part_1_4	Part_1_4	OpenFOAM-forces	4.8483126	0.14375354	0.02	0.17453293	-0.24624391	0.11928348	-0.09979108	-0.27823651	-0.21211153	0.11127857	0.17242365	-0.098369207	-0.069478616
13	Part_1_1	Part_1_1	OpenFOAM-forces	2.5382244	0.2052253	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
13	Part_1_2	Part_1_2	OpenFOAM-forces	28.34853	0.03972576	0.02	0.17453293	-0.34328987	-0.017821165	-0.0083152795	-0.35177468	-0.33565734	-0.050913436	0.024744755	-0.046183588	0.029643627
13	Part_1_3	Part_1_3	OpenFOAM-forces	4.3840954	0.14387242	0.02	0.17453293	-0.24468097	0.13594336	0.13132251	-0.27670339	-0.21067584	0.10526475	0.13394077	0.12362435	0.18462553
13	Part_1_6	Part_1_6	OpenFOAM-forces	4.1142018	0.14420185	0.02	0.17453293	-0.24478211	-0.097568579	0.144499	-0.27689949	-0.21073359	-0.15050292	-0.089368925	0.11387229	0.14236544
